CÓDIGO;SUS;TUNEP
33703108;927,55;1.687,12
33703124;3.434,85;6.010,99
33704031;2.524,29;4.417,51
33704040;2.758,84;4.827,97
33704090;2.581,71;4.517,99
33704120;3.369,06;5.895,86
33705011;1.089,98;1.707,11
33705020;927,54;1.696,39
33705046;2.732,49;4.781,86
33705054;2.712,34;4.746,60
33706018;527,65;1.244,14
33706026;508,67;983,15
33706069;1.089,98;1.944,94
33706085;1.037,71;1.651,14
33707022;508,67;983,15
33707057;686,72;1.477,95
33707065;3.431,74;6.005,55
33709050;508,66;1.073,30
33710082;1.089,97;1.935,27
33713022;686,72;1.346,50
33714029;527,66;983,15
33716064;508,66;741,83
33722064;2.596,32;4.543,56
33723060;740;1.744,91
33726060;2.714,87;4.751,02
34001018;200,36;742,04
34001026;321,56;805,12
34001034;380,2;816,33
34001042;399,57;1.013,10
34001050;436,38;1.067,76
34002049;289,71;1.013,10
34003029;313,07;660,87
34003045;327,92;1.013,10
34004025;321,55;482,86
34004041;292,09;1.013,10
34005013;120,1;347,55
34005021;321,56;503,11
34005030;143,85;366,05
34006010;769,35;1.710,48
34006028;321,56;503,11
34006036;281,3;816,33
34007016;112,59;562,95
34007024;321,56;503,11
34007032;280,89;659,2
34008012;104,81;347,55
34008020;406,89;822,9
34008039;153,82;366,05
34009019;104,81;347,55
34009027;321,56;465,48
34009035;616,51;1.738,48
34010017;104,81;347,55
34010025;339,97;1.216,77
34010033;545,15;1.518,50
34011013;112,59;450,36
34011021;291,27;910,47
34011030;469,5;1.280,45
34012028;339,97;1.216,77
34012036;454,79;1.072,15
34013024;321,85;988,47
34013032;280,89;707,48
34014020;345,6;1.304,40
34014039;397,3;1.518,50
34016023;355,44;1.304,40
34017038;661,85;1.578,61
34018026;370,93;1.329,95
34018034;671,61;979,46
34019022;392,92;1.089,95
34020020;321,56;465,48
34020039;119,86;366,05
34021027;388,04;959,19
34021035;378,44;1.127,12
34022031;401,2;1.518,55
34022040;293,05;1.013,10
34023038;68,55;119,96
34701028;527,65;1.010,76
34701036;527,65;1.002,56
34701052;686,71;1.086,73
34704124;2.700,01;4.725,02
34706011;2.660,97;4.656,70
34707018;559,64;1.003,57
34709037;2.581,53;4.517,68
34710035;927,54;1.591,47
34717030;1.089,97;1.600,25
34719032;927,53;1.378,09
35001011;403,09;973,9
35006013;401,08;973,9
35007010;338,72;973,9
35008016;437,31;1.138,53
35009012;545,73;1.445,75
35011017;463,92;1.518,50
35012013;376,13;881,91
35013010;216,66;973,89
35014016;171,07;391,85
35015012;419,64;1.087,67
35016019;127,57;391,85
35017015;157,81;391,85
35018011;157,98;391,85
35019018;138,64;391,85
35025018;424,2;1.157,65
35026014;591,63;1.322,94
35027010;571,48;1.339,12
35028017;848,51;1.519,35
35031018;473,81;1.000,97
35032014;388,61;1.000,97
35080019;399,69;833,88
35082011;443,68;1.380,54
35084014;561,09;1.380,54
35085010;686,11;1.380,54
35086017;311,79;342,81
35087013;315,39;365,86
35088010;124,83;218,45
36001023;22,93;95,55
36001040;161,19;452
36001058;619,17;902,95
36001066;161,19;445,35
36001074;161,19;580,35
36001082;310,57;580,22
36001104;639,8;1.005,24
36001112;405,68;636,96
36001120;499,21;789,46
36002011;98,44;230,12
36002020;22,93;95,55
36002038;335,72;697,27
36002054;619,18;902,95
36002070;237,47;580,35
36002089;159,37;580,35
36002097;22,93;95,55
36002100;619,17;902,95
36002119;774,35;1.129,24
36002127;335,72;469,9
36003018;98,44;187,65
36003034;794,89;998,35
36003050;1.046,02;1.055,76
36003069;54,89;177,11
36003093;159,37;471,63
36003115;650,66;1.070,35
36003123;159,37;471,63
36004014;335,72;780,47
36004022;22,93;95,55
36004049;466,52;846,07
36004057;335,72;742,92
36004065;159,37;445,35
36004073;619,17;902,95
36004103;335,72;452,94
36004111;619,17;902,95
36005010;22,93;95,55
36005029;98,44;410,15
36005061;776,8;922,04
36005088;335,72;452,94
36005096;159,37;471,63
36005100;650,66;1.550,05
36005118;774,35;1.129,24
36005126;22,93;95,55
36006017;335,72;780,47
36006025;215,13;580,35
36006068;499,2;1.005,24
36006114;774,34;1.129,24
36006122;22,93;95,55
36007021;619,17;1.004,97
36007048;794,88;902,95
36007064;965,45;1.129,24
36007099;405,68;483,83
36007110;54,89;228,7
36007129;22,93;95,55
36008060;405,69;822,57
36008087;335,73;710,85
36008095;159,37;312,91
36008117;22,93;95,55
36008125;22,93;95,55
36009024;54,89;114,6
36009067;499,2;1.197,22
36009083;310,57;900,03
36009113;22,93;95,55
36009121;487,86;816,78
36010022;711,46;1.062,66
36010065;650,66;925,6
36010081;159,37;445,35
36010090;22,93;95,55
36010111;794,88;902,95
36011029;22,93;95,55
36011061;650,65;1.351,64
36011096;22,93;95,55
36011118;650,66;992,44
36012025;159,37;580,35
36012084;405,68;822,57
36012092;22,93;95,55
36013021;774,34;1.536,72
36013099;98,44;150,16
36014087;619,16;910,46
36014095;159,37;434,41
36015024;1.129,30;1.976,28
36015091;159,37;480,45
36016020;1.129,30;1.552,10
36016098;335,72;900,03
36017027;835,34;1.129,24
36017094;619,17;902,95
36018023;965,45;1.129,24
36020052;383,08;1.294,08
36701033;369,6;525,39
36702064;508,66;741,83
36703117;508,67;1.272,89
37001019;295,09;840,14
37001035;119,22;383,55
37001043;583,18;1.335,87
37001051;324,17;933,83
37002031;204,38;424,36
37002040;980,31;1.429,63
37002058;337,09;1.210,56
37003011;366,64;806,08
37003020;169,45;637,45
37003038;269,26;468,55
37003046;980,31;2.353,87
37003054;235,46;472,21
37004026;190,92;578,54
37004050;324,17;933,83
37005014;388,45;1.099,98
37005022;210,76;799,15
37005030;242,23;415,56
37005057;375,83;1.248,55
37006029;184,48;524,75
37006037;119,22;383,55
37006053;440,54;440,54
37007041;168,79;353,04
